KPI ID,Subsystem,Type of KPI,KPI,Sub-label / Description,Problem,Solution,Data Needed,Data Source,Sourse Tech,Formula / Explanation,Units,Current Value (Example),Target,Status Thresholds,Visualization,Frequency
1,CCTV,Executive KPI,Total Cameras,Total integrated cameras across city,No consolidated visibility,Unified asset registry,Camera master inventory,VMS/NVR,API ONVIF,Count(all cameras),Count,850,100% mapped,Green>99%;Amber95-99%;Red<95,Card,Daily
2,CCTV,Operational KPI,Online Cameras,Cameras currently available,Blind spots due outages,Real-time monitoring,Heartbeat status,VMS,ONVIF SNMP,Online count,Count,812,>98%,Green>98%;Amber95-98%;Red<95,Donut,5 Min
3,CCTV,Operational KPI,Offline Cameras,Cameras unavailable,Security risk,Dispatch maintenance,Offline status,VMS,ONVIF,Total-offline,Count,38,<10,Green<10;Amber10-25;Red>25,Alert Grid,5 Min
4,CCTV,Operational KPI,Live Streams Active,Current viewed streams,No usage visibility,Operator dashboard,Session logs,Streaming Server,RTSP HLS,Count(active sessions),Count,64,NA,NA,Card,1 Min
11,CCTV,System KPI,Avg Stream Latency,Average stream delay,Slow response,Network tuning,Timestamps,Streaming Layer,RTSP/HLS,Avg(receive-start),ms,850,<500,Green<500;Amber500-1000;Red>1000,Line,1 Min
12,CCTV,System KPI,Bandwidth Utilization,Video network usage,Congestion risk,QoS planning,Traffic stats,Switch/NVR,NetFlow SNMP,Used/Capacity*100,%,72,<80,Green<80;Amber80-90;Red>90,Area,5 Min
14,CCTV,System KPI,Storage Used %,Video storage consumed,Disk full risk,Auto cleanup/tiering,Disk usage,NVR,SNMP,Used/Total*100,%,68,<80,Green<80;Amber80-90;Red>90,Donut,Hourly
21,CCTV,System Health KPI,Camera Uptime %,Availability SLA,Frequent outages,Preventive maintenance,Uptime logs,VMS,NMS,Uptime/Total*100,%,97.5,>99,Green>99;Amber97-99;Red<97,Gauge,Daily
22,CCTV,System Health KPI,Video Loss Cameras,No signal cameras,Blind surveillance,Immediate repair,Signal alarms,VMS,ONVIF,Count(signal loss),Count,6,0,Green0;Amber1-3;Red>3,Alert Grid,5 Min
29,CCTV,Predictive KPI,Storage Exhaustion Forecast,Days until storage full,Unexpected recording loss,Capacity expansion & retention tuning,Disk growth trends current usage,NVR Storage,Forecast Engine,Projected days to 90% full,Days,18,>60,Green>60;Amber30-60;Red<30,Forecast Gauge,Daily
